dimmer/1	dimmer/2	dimmer/3	dimmer/4	dimmer/5	dimmer/6	dimmer/7	dimmer/8	relay/17	relay/18	relay/19	relay/20	relay/21	relay/22	relay/23	relay/24	print_pos
0	0	19	0	0	0	0	23	1	0	0	0	0	0	0	0	0
0	0	19	0	0	0	0	24	1	0	0	0	0	0	0	0	0
0	0	19	0	0	0	0	24	1	0	0	0	0	0	0	0	0
0	0	19	0	0	0	0	25	1	0	0	0	0	0	0	0	0
0	0	19	0	0	0	0	25	1	0	0	0	0	0	0	0	0
0	0	19	0	0	0	0	26	1	0	0	0	0	0	0	0	0
0	0	19	0	0	0	0	26	1	0	0	0	0	0	0	0	0
0	0	19	0	0	0	0	27	1	0	0	0	0	0	0	0	0
0	0	19	0	0	0	0	27	1	0	0	0	0	0	0	0	0
0	0	19	0	0	0	0	28	1	0	0	0	0	0	0	0	0
0	0	19	0	0	0	0	28	1	0	0	0	0	0	0	0	0
0	0	19	0	0	0	0	28	1	0	0	0	0	0	0	0	0
0	0	19	0	0	0	0	29	1	0	0	0	0	0	0	0	0
0	0	19	0	0	0	0	29	1	0	0	0	0	0	0	0	0
0	0	19	0	0	0	0	30	1	0	0	0	0	0	0	0	0
0	0	19	0	0	0	0	31	1	0	0	0	0	0	0	0	0
0	0	19	0	0	0	0	31	1	0	0	0	0	0	0	0	0
0	0	19	0	0	0	0	31	1	0	0	0	0	0	0	0	0
0	0	19	0	0	0	0	31	1	0	0	0	0	0	0	0	0
0	0	19	0	0	0	0	32	1	0	0	0	0	0	0	0	0
0	0	19	0	0	0	0	32	1	0	0	0	0	0	0	0	0
0	0	19	0	0	0	0	33	1	0	0	0	0	0	0	0	0
0	0	19	0	0	0	0	33	1	0	0	0	0	0	0	0	0
0	0	19	0	0	0	0	34	1	0	0	0	0	0	0	0	0
0	0	19	0	0	0	0	35	1	0	0	0	0	0	0	0	0
0	0	19	0	0	0	0	35	1	0	0	0	0	0	0	0	0
0	0	19	0	0	0	0	36	1	0	0	0	0	0	0	0	0
0	0	19	0	0	0	0	37	1	0	0	0	0	0	0	0	0
0	0	19	0	0	0	0	37	1	0	0	0	0	0	0	0	0
0	0	19	0	0	0	0	37	1	0	0	0	0	0	0	0	0
0	0	19	0	0	0	0	38	1	0	0	0	0	0	0	0	0
0	0	19	0	0	0	0	39	1	0	0	0	0	0	0	0	0
0	0	19	0	0	0	0	39	1	0	0	0	0	0	0	0	0
0	0	19	0	0	0	0	39	1	0	0	0	0	0	0	0	0
0	0	19	0	0	0	0	40	1	0	0	0	0	0	0	0	0
0	0	19	0	0	0	0	41	1	0	0	0	0	0	0	0	0
0	0	19	0	0	0	0	42	1	0	0	0	0	0	0	0	0
0	0	19	0	0	0	0	43	1	0	0	0	0	0	0	0	0
0	0	19	0	0	0	0	43	1	0	0	0	0	0	0	0	0
0	0	19	0	0	0	0	43	1	0	0	0	0	0	0	0	0
0	0	19	0	0	0	0	43	1	0	0	0	0	0	0	0	0
0	0	19	0	0	0	0	44	1	0	0	0	0	0	0	0	0
0	0	19	0	0	0	0	45	1	0	0	0	0	0	0	0	0
0	0	19	0	0	0	0	46	1	0	0	0	0	0	0	0	0
0	0	19	0	0	0	0	46	1	0	0	0	0	0	0	0	0
0	0	19	0	0	0	0	47	1	0	0	0	0	0	0	0	0
0	0	19	0	0	0	0	47	1	0	0	0	0	0	0	0	0
