s17	s18	s19
2	0	0
13	0	0
22	0	0
25	0	0
28	0	0
31	0	0
35	0	0
39	0	0
49	0	0
65	0	0
73	0	0
79	0	0
81	0	0
70	0	0
56	0	0
45	0	0
41	0	0
49	0	0
61	0	0
66	0	0
69	0	0
78	0	0
86	0	0
86	0	0
79	0	0
57	0	0
46	0	0
41	0	0
35	0	0
35	2	0
32	9	0
37	10	0
53	3	0
63	0	0
71	0	0
76	0	0
72	0	0
56	1	0
46	8	0
46	8	0
50	9	0
62	10	0
74	15	0
83	18	0
87	20	0
90	20	0
91	17	0
89	13	0
83	4	0
67	0	0
54	0	0
42	0	0
36	0	0
28	0	0
19	0	0
10	0	0
3	0	0
